model_name,A_R2_Score,A_accuracy,V_R2_Score,V_accuracy,A_mse,V_mse,A_rmse,V_rmse
"BiLSTM + DNN (fold=5 , lr=0.001 , dense_layer=512 units, features=260)",0.609,0.8196,0.4451,0.7497,0.0363,0.0382,0.1753,0.1867
"BiLSTM + DNN (fold=5 , lr=0.001 , dense_layer=512 units, features=160)",0.648,0.8386,0.4711,0.7867,0.0253,0.0292,0.1591,0.1709
